-----------------------------------------------------------------------------------------
X	Y	year	month	day	Mag	Z(m)	hr	min	sec	stage
335883	432708	2019	8	15	-1.446	-2136.14	10	46	56	1
335855	432744	2019	8	15	-1.44	-2129.97	10	47	4	1
335831	432773	2019	8	15	-1.434	-2132.29	10	47	8	1
335828	432759	2019	8	15	-1.361	-2107.58	10	47	23	1
335836	432762	2019	8	15	-1.23	-2114.8	10	47	25	1
335841	432767	2019	8	15	-1.574	-2106.29	10	47	30	1
335810	432780	2019	8	15	-1.367	-2127.52	10	47	38	1
335824	432848	2019	8	15	-1.508	-2147.52	10	47	41	1
335814	432767	2019	8	15	-1.235	-2118.14	10	47	54	1
335827	432691	2019	8	15	-1.284	-2114.93	10	47	59	1
335857	432748	2019	8	15	-0.949	-2129.38	10	48	3	1
335834	432769	2019	8	15	-1.314	-2116.18	10	48	13	1
335839	432775	2019	8	15	-0.913	-2125.33	10	48	14	1
335871	432717	2019	8	15	-1.546	-2088.7	10	48	16	1
335860	432748	2019	8	15	-1.351	-2104.01	10	48	17	1
335802	432748	2019	8	15	-1.398	-2067.93	10	48	27	1
335828	432695	2019	8	15	-0.746	-2046.96	10	48	30	1
335839	432685	2019	8	15	-0.67	-2095.43	10	48	31	1
335832	432782	2019	8	15	-1.529	-2045	10	48	37	1
335841	432711	2019	8	15	-1.388	-2083.01	10	48	55	1
335823	432851	2019	8	15	-1.078	-2121.71	10	49	0	1
335820	432680	2019	8	15	-1.358	-2100.52	10	49	9	1
335837	432748	2019	8	15	-1.111	-2109.08	10	49	13	1
335836	432717	2019	8	15	-1.064	-2085.4	10	49	14	1
335810	432803	2019	8	15	-1.259	-2120.97	10	49	22	1
335872	432855	2019	8	15	-1.539	-2116.14	10	49	23	1
335825	432753	2019	8	15	-1.288	-2114.52	10	49	25	1
335836	432655	2019	8	15	-0.771	-2054.5	10	49	35	1
335840	432719	2019	8	15	-1.378	-2037.91	10	49	36	1
335857	432761	2019	8	15	-1.257	-2031.33	10	49	43	1
335847	432678	2019	8	15	-1.298	-2028.89	10	49	44	1
335887	432718	2019	8	15	-1.462	-2088.77	10	49	49	1
335856	432726	2019	8	15	-1.47	-2128.76	10	49	50	1
335847	432859	2019	8	15	-1.5	-2074.6	10	49	53	1
335851	432735	2019	8	15	-1.239	-2098.59	10	49	55	1
335897	432788	2019	8	15	-1.713	-2134.98	10	49	56	1
335852	432763	2019	8	15	-1.348	-2100.32	10	49	57	1
335818	432885	2019	8	15	-1.371	-2141.27	10	49	58	1
335851	432774	2019	8	15	-1.316	-2101.97	10	50	0	1
335848	432771	2019	8	15	-0.567	-2133.89	10	50	3	1
335817	432836	2019	8	15	-1.177	-2141.89	10	50	9	1
335852	432725	2019	8	15	-1.497	-2113.28	10	50	10	1
335771	432743	2019	8	15	-1.439	-2149.44	10	50	11	1
335842	432729	2019	8	15	-1.37	-2047.78	10	50	13	1
335825	432822	2019	8	15	-1.365	-2120.94	10	50	15	1
335858	432845	2019	8	15	-1.521	-2115.51	10	50	18	1
335837	432695	2019	8	15	-1.208	-2066.95	10	50	23	1
335790	432784	2019	8	15	-1.295	-2124.18	10	50	25	1
335829	432720	2019	8	15	-1.443	-2044.03	10	50	29	1
335856	432791	2019	8	15	-1.263	-2114.85	10	50	30	1
335828	432755	2019	8	15	-1.158	-2116.95	10	50	31	1
335857	432708	2019	8	15	-1.061	-2063.87	10	50	32	1
335861	432742	2019	8	15	-1.211	-2141.84	10	50	35	1
335838	432784	2019	8	15	-1.531	-2109.22	10	50	39	1
335849	432762	2019	8	15	-1.514	-2098.88	10	50	41	1
335837	432716	2019	8	15	-0.559	-2092.31	10	50	42	1
335843	432784	2019	8	15	-1.417	-2072.31	10	50	45	1
335784	432596	2019	8	15	-1.437	-2151.75	10	50	50	1
335887	432654	2019	8	15	-1.625	-2088.32	10	50	51	1
335829	432794	2019	8	15	-0.922	-2116.08	10	50	52	1
335856	432761	2019	8	15	-0.964	-2134.72	10	50	53	1
335853	432782	2019	8	15	-1.19	-2106.99	10	50	58	1
335830	432814	2019	8	15	-1.272	-2116.55	10	51	0	1
335858	432814	2019	8	15	-1.405	-2115.2	10	51	2	1
335848	432663	2019	8	15	-1.47	-2092.43	10	51	6	1
335825	432755	2019	8	15	-1.329	-2128.78	10	51	10	1
335837	432752	2019	8	15	-1.474	-2038.49	10	51	14	1
335847	432779	2019	8	15	-1.542	-2117.5	10	51	16	1
335865	432705	2019	8	15	-1.554	-2111.45	10	51	19	1
335816	432792	2019	8	15	-1.432	-2124.55	10	51	24	1
335845	432672	2019	8	15	-1.365	-2095.45	10	51	26	1
335839	432708	2019	8	15	-1.27	-2021.99	10	51	27	1
335836	432724	2019	8	15	-1.618	-2049.27	10	51	28	1
335852	432755	2019	8	15	-0.901	-2128.96	10	51	31	1
335846	432739	2019	8	15	-1.388	-2125.53	10	51	35	1
335830	432684	2019	8	15	-0.766	-2068.56	10	51	36	1
335853	432763	2019	8	15	-1.034	-2115.09	10	51	38	1
335811	432814	2019	8	15	-1.343	-2134.76	10	51	43	1
335844	432805	2019	8	15	-1.544	-2063.6	10	51	51	1
335862	432820	2019	8	15	-1.445	-2099.95	10	51	54	1
335833	432741	2019	8	15	-1.379	-2022.71	10	51	55	1
335845	432704	2019	8	15	-1.315	-2070	10	51	57	1
335833	432799	2019	8	15	-1.605	-2103.54	10	52	6	1
335868	432652	2019	8	15	-1.708	-2110.89	10	52	10	1
335844	432704	2019	8	15	-0.628	-2090.64	10	52	13	1
335845	432764	2019	8	15	-1.327	-2126.44	10	52	16	1
335833	432760	2019	8	15	-1.253	-2107.52	10	52	18	1
335836	432775	2019	8	15	-1.558	-2104.7	10	52	21	1
335846	432704	2019	8	15	-1.544	-2079.64	10	52	22	1
335855	432776	2019	8	15	-1.125	-2122.07	10	52	28	1
335827	432841	2019	8	15	-1.15	-2127.64	10	52	34	1
335832	432740	2019	8	15	-1.422	-2048.89	10	52	35	1
335847	432654	2019	8	15	-1.455	-2095.69	10	52	36	1
335820	432695	2019	8	15	-1.199	-2113.81	10	52	36	1
335827	432781	2019	8	15	-0.135	-2125.93	10	52	38	1
335850	432726	2019	8	15	-1.492	-2083.54	10	52	40	1
335830	432751	2019	8	15	-1.31	-2114.95	10	52	41	1
335827	432802	2019	8	15	-1.086	-2117.71	10	52	45	1
335849	432794	2019	8	15	-1.316	-2143.19	10	52	46	1
335837	432708	2019	8	15	-0.927	-2069.5	10	52	47	1
335834	432602	2019	8	15	-1.472	-2104.2	10	52	48	1
335854	432758	2019	8	15	-0.931	-2132.06	10	52	51	1
335846	432690	2019	8	15	-1.534	-2067.58	10	52	53	1
335849	432732	2019	8	15	-1.385	-2094.1	10	52	56	1
335892	432831	2019	8	15	-1.243	-2099.19	10	52	57	1
335834	432708	2019	8	15	-1.545	-2097.87	10	52	59	1
335853	432748	2019	8	15	-1.272	-2103.6	10	53	7	1
335845	432812	2019	8	15	-1.418	-2018.85	10	53	20	1
335880	432744	2019	8	15	-1.743	-2152.36	10	53	22	1
335839	432750	2019	8	15	-1.497	-2136.94	10	53	24	1
335855	432713	2019	8	15	-1.408	-2090.89	10	53	29	1
335821	432817	2019	8	15	-0.71	-2134.81	10	53	31	1
335832	432742	2019	8	15	-0.943	-2091.83	10	53	32	1
335840	432744	2019	8	15	-1.35	-2080.53	10	53	34	1
335823	432716	2019	8	15	-0.835	-2072.95	10	53	37	1
335855	432714	2019	8	15	-1.329	-2106.75	10	53	41	1
335859	432742	2019	8	15	-1.506	-2033.97	10	53	52	1
335826	432787	2019	8	15	-1.534	-2068.14	10	53	55	1
335806	432865	2019	8	15	-1.376	-2135.93	10	53	56	1
335812	432836	2019	8	15	-1.459	-2108.43	10	53	57	1
335833	432773	2019	8	15	-1.561	-2058.31	10	54	2	1
335847	432759	2019	8	15	-1.318	-2099.17	10	54	3	1
335835	432689	2019	8	15	-1.495	-2065.37	10	54	5	1
335853	432773	2019	8	15	-1.44	-2126.55	10	54	6	1
335821	432815	2019	8	15	-1.495	-2111.58	10	54	8	1
335853	432727	2019	8	15	-1.233	-2108.55	10	54	8	1
335843	432691	2019	8	15	-0.493	-2088.1	10	54	10	1
335832	432781	2019	8	15	-1.567	-2030.91	10	54	11	1
335835	432721	2019	8	15	-1.26	-2042.9	10	54	12	1
335858	432676	2019	8	15	-1.607	-2108.03	10	54	13	1
335847	432731	2019	8	15	-1.256	-2047.59	10	54	16	1
335841	432614	2019	8	15	-1.254	-2048.32	10	54	20	1
335890	432761	2019	8	15	-1.477	-2111.1	10	54	29	1
335850	432740	2019	8	15	-1.303	-2100.96	10	54	34	1
335828	432624	2019	8	15	-1.406	-2012.84	10	54	45	1
335808	432781	2019	8	15	-1.639	-2096.38	10	54	45	1
335852	432765	2019	8	15	-0.756	-2126.54	10	54	53	1
335909	432718	2019	8	15	-1.438	-2135.14	10	54	55	1
335862	432705	2019	8	15	-1.411	-2122.51	10	54	56	1
335866	432666	2019	8	15	-1.327	-2090.68	10	55	0	1
335770	432663	2019	8	15	-1.361	-2168.8	10	55	1	1
335859	432713	2019	8	15	-1.394	-2130.67	10	55	4	1
