---------------------------------------------------------------------
Year	month	day	hr	min	sec	injection_rate(m^3/s)
2019	8	16	3	27	9	0
2019	8	16	3	27	10	0
2019	8	16	3	27	11	0
2019	8	16	3	27	12	0
2019	8	16	3	27	13	0
2019	8	16	3	27	14	0
2019	8	16	3	27	15	0
2019	8	16	3	27	16	0
2019	8	16	3	27	17	0
2019	8	16	3	27	18	0
2019	8	16	3	27	19	0
2019	8	16	3	27	20	0
2019	8	16	3	27	21	0
2019	8	16	3	27	22	0
2019	8	16	3	27	23	0
2019	8	16	3	27	24	0
2019	8	16	3	27	25	0
2019	8	16	3	27	26	0
2019	8	16	3	27	27	0
2019	8	16	3	27	28	0
2019	8	16	3	27	29	0
2019	8	16	3	27	30	0
2019	8	16	3	27	31	0
2019	8	16	3	27	32	0
2019	8	16	3	27	33	0
2019	8	16	3	27	34	0
2019	8	16	3	27	35	0
2019	8	16	3	27	36	0
2019	8	16	3	27	37	0
2019	8	16	3	27	38	0
2019	8	16	3	27	39	0
2019	8	16	3	27	40	0
2019	8	16	3	27	41	0
2019	8	16	3	27	42	0
2019	8	16	3	27	43	0
2019	8	16	3	27	44	0
2019	8	16	3	27	45	0
2019	8	16	3	27	46	0
2019	8	16	3	27	47	0
2019	8	16	3	27	48	0
2019	8	16	3	27	49	0
2019	8	16	3	27	50	0
2019	8	16	3	27	51	0
2019	8	16	3	27	52	0
2019	8	16	3	27	53	0
2019	8	16	3	27	54	0
2019	8	16	3	27	55	0
2019	8	16	3	27	56	0
2019	8	16	3	27	57	0
2019	8	16	3	27	58	0
2019	8	16	3	27	59	0
2019	8	16	3	28	0	0
2019	8	16	3	28	1	0
2019	8	16	3	28	2	0
2019	8	16	3	28	3	0
2019	8	16	3	28	4	0
2019	8	16	3	28	5	0
2019	8	16	3	28	6	0
2019	8	16	3	28	7	0
2019	8	16	3	28	8	0
2019	8	16	3	28	9	0
2019	8	16	3	28	10	0
2019	8	16	3	28	11	0
2019	8	16	3	28	12	0
2019	8	16	3	28	13	0
2019	8	16	3	28	14	0
2019	8	16	3	28	15	0
2019	8	16	3	28	16	0
2019	8	16	3	28	17	0
2019	8	16	3	28	18	0
2019	8	16	3	28	19	0
2019	8	16	3	28	20	0
2019	8	16	3	28	21	0
2019	8	16	3	28	22	0
2019	8	16	3	28	23	0
2019	8	16	3	28	24	0
2019	8	16	3	28	25	0
2019	8	16	3	28	26	0
2019	8	16	3	28	27	0
2019	8	16	3	28	28	0
2019	8	16	3	28	29	0
2019	8	16	3	28	30	0
2019	8	16	3	28	31	0
2019	8	16	3	28	32	0
2019	8	16	3	28	33	0
2019	8	16	3	28	34	0
2019	8	16	3	28	35	0
2019	8	16	3	28	36	0
2019	8	16	3	28	37	0
2019	8	16	3	28	38	0
2019	8	16	3	28	39	0
2019	8	16	3	28	40	0
2019	8	16	3	28	41	0
2019	8	16	3	28	42	0
2019	8	16	3	28	43	0
2019	8	16	3	28	44	0
2019	8	16	3	28	45	0
2019	8	16	3	28	46	0
2019	8	16	3	28	47	0
2019	8	16	3	28	48	0
2019	8	16	3	28	49	0
2019	8	16	3	28	50	0
2019	8	16	3	28	51	0
2019	8	16	3	28	52	0
2019	8	16	3	28	53	0
2019	8	16	3	28	54	0
2019	8	16	3	28	55	0
2019	8	16	3	28	56	0
2019	8	16	3	28	57	0
2019	8	16	3	28	58	0
2019	8	16	3	28	59	0
2019	8	16	3	29	0	0
2019	8	16	3	29	1	0
2019	8	16	3	29	2	0
2019	8	16	3	29	3	0
2019	8	16	3	29	4	0
2019	8	16	3	29	5	0
2019	8	16	3	29	6	0
2019	8	16	3	29	7	0
2019	8	16	3	29	8	0
2019	8	16	3	29	9	0
2019	8	16	3	29	10	0
2019	8	16	3	29	11	0
