      0       21 708.5620 4.753 0.000 102.273 29.196
      1        0 719.1400 4.754 0.000 102.278 29.277
      2       28 746.2410 5.012 0.000 102.272 29.169
      3        0 757.5130 4.754 0.000 102.278 29.277
      4       28 770.4260 4.754 0.000 102.272 29.169
      5       21 779.5200 4.753 0.000 102.273 29.196
      6       14 787.7580 4.754 0.000 102.275 29.223
      7     1932 794.7550 4.746 0.000 102.862 23.355
      8        0 795.1780 5.173 0.000 102.278 29.277
      9       28 798.1910 5.167 0.000 102.272 29.169
     10     1939 804.9090 4.748 0.000 102.853 23.329
     11        0 806.6910 4.754 0.000 102.278 29.277
     12     1932 812.7460 4.746 0.000 102.862 23.355
     13       28 821.0120 5.010 0.000 102.272 29.169
     14     1939 823.3470 4.748 0.000 102.853 23.329
     15        7 826.7780 4.745 0.000 102.276 29.250
     16       22 829.0600 4.720 -3000.000 102.273 29.196
     17     1932 830.7370 4.746 0.000 102.862 23.355
     18        0 834.3700 5.161 0.000 102.278 29.277
     19     1939 841.7850 4.748 0.000 102.853 23.329
     20       28 841.8900 5.009 0.000 102.272 29.169
     21        1 847.4430 4.721 -3000.000 102.278 29.277
     22     1932 848.7290 4.746 0.000 102.862 23.355
     23        0 849.4280 4.754 0.000 102.278 29.277
     24       14 856.9130 4.754 0.000 102.275 29.223
     25     1939 860.2230 4.748 0.000 102.853 23.329
     26       22 860.3100 4.720 -3000.000 102.273 29.196
     27       28 863.7730 4.754 0.000 102.272 29.169
     28     1932 866.7200 4.746 0.000 102.862 23.355
     29       21 868.5150 4.753 0.000 102.273 29.196
     30       29 875.2940 4.721 -3000.000 102.272 29.169
     31     1939 878.6600 4.748 0.000 102.853 23.329
     32     1932 884.7110 4.746 0.000 102.862 23.355
     33        1 885.0590 5.736 -3000.000 102.278 29.277
     34       14 887.8170 4.993 0.000 102.275 29.223
     35        7 894.8500 4.745 0.000 102.276 29.250
     36     1939 897.0980 4.748 0.000 102.853 23.329
     37        0 899.2690 4.754 0.000 102.278 29.277
     38     1932 902.7020 4.746 0.000 102.862 23.355
