t,Magnitude,Latitude,Longitude,Depth,dt
208.761,4.966,29.277,102.278,-18000.0,1.0390000000000157
209.8,4.956,23.252,102.825,-18000.0,1.4099999999999966
211.21,4.72,29.277,102.278,-12000.0,1.9000000000000057
213.11,4.976,29.277,102.278,-18000.0,0.6979999999999791
213.808,4.754,29.277,102.278,0.0,0.07500000000001705
213.883,4.7,23.252,102.825,-18000.0,0.33899999999999864
214.222,4.72,29.277,102.278,-9000.0,1.5689999999999884
215.791,4.704,27.938,102.232,-18000.0,0.008000000000009777
215.799,4.976,29.277,102.278,-6000.0,0.7579999999999814
216.557,4.716,29.277,102.278,-18000.0,0.5020000000000095
217.059,4.72,29.277,102.278,-12000.0,1.507000000000005
218.566,4.956,23.252,102.825,-15000.0,0.125
218.691,4.72,27.983,102.224,-18000.0,1.8269999999999982
220.518,4.72,29.277,102.278,-9000.0,0.060000000000002274
220.578,4.965,29.277,102.278,-18000.0,0.06999999999999318
220.648,4.754,29.277,102.278,0.0,0.8780000000000143
221.526,4.72,29.277,102.278,-15000.0,0.21599999999997976
221.742,4.72,29.277,102.278,-6000.0,1.475999999999999
223.218,4.72,29.277,102.278,-12000.0,1.1069999999999993
224.325,4.72,29.277,102.278,-18000.0,0.014000000000010004
224.339,4.7,23.252,102.825,-15000.0,0.27700000000001523
224.616,4.7,23.252,102.825,-18000.0,0.1419999999999959
224.758,4.701,23.252,102.825,-12000.0,0.3089999999999975
225.067,4.721,29.277,102.278,-3000.0,1.4139999999999873
226.481,4.716,29.277,102.278,-15000.0,0.242999999999995
226.724,4.72,29.277,102.278,-9000.0,0.2600000000000193
226.984,4.704,27.938,102.232,-18000.0,0.4029999999999916
227.387,4.716,29.277,102.278,-18000.0,0.4679999999999893
227.855,4.754,29.277,102.278,0.0,0.17000000000001592
228.025,4.72,29.277,102.278,-6000.0,1.150999999999982
229.176,4.72,27.983,102.224,-18000.0,0.3580000000000041
229.534,4.956,23.252,102.825,-18000.0,0.4440000000000168
229.978,4.976,29.277,102.278,-12000.0,0.057999999999992724
230.036,4.705,26.979,102.791,-18000.0,0.4989999999999952
230.535,4.956,23.252,102.825,-9000.0,0.271000000000015
230.806,4.702,26.943,102.816,-18000.0,0.47699999999997544
231.283,4.721,29.277,102.278,-3000.0,0.3780000000000143
231.661,4.72,29.277,102.278,-18000.0,0.9010000000000105
232.562,4.701,23.252,102.825,-6000.0,0.12299999999999045
232.685,4.703,29.25,102.276,-18000.0,0.2580000000000098
232.943,4.72,29.277,102.278,-9000.0,0.6219999999999857
233.565,4.716,29.277,102.278,-12000.0,0.0049999999999954525
233.57,4.7,23.252,102.825,-18000.0,0.7620000000000005
234.332,4.72,29.277,102.278,-6000.0,0.009000000000014552
234.341,4.701,23.252,102.825,-3000.0,0.6639999999999873
235.005,4.754,29.277,102.278,0.0,0.6570000000000107
235.662,4.701,23.252,102.825,-9000.0,0.5600000000000023
236.222,4.972,29.277,102.278,-15000.0,0.257000000000005
236.479,4.716,29.277,102.278,-9000.0,0.033999999999991815
236.513,4.7,23.252,102.825,-15000.0,0.9710000000000036
237.484,4.721,29.277,102.278,-3000.0,0.4129999999999825
237.897,4.7,23.252,102.825,-18000.0,0.0049999999999954525
237.902,4.743,23.252,102.825,0.0,0.10000000000002274
238.002,4.716,29.277,102.278,-6000.0,0.07899999999997931
238.081,4.701,23.252,102.825,-6000.0,0.05700000000001637
238.138,4.72,29.277,102.278,-12000.0,0.022999999999996135
238.161,4.702,26.943,102.816,-18000.0,0.015999999999991132
238.177,4.701,23.252,102.825,-12000.0,0.0010000000000047748
238.178,4.704,27.938,102.232,-18000.0,1.2760000000000105
239.454,4.72,29.277,102.278,-18000.0,0.20599999999998886
239.66,4.72,27.983,102.224,-18000.0,0.0589999999999975
239.719,4.701,23.252,102.825,-3000.0,0.06800000000001205
239.787,4.72,29.277,102.278,-15000.0,0.5550000000000068
240.342,4.717,29.277,102.278,-3000.0,0.7740000000000009
241.116,4.701,23.252,102.825,-9000.0,0.39299999999997226
241.509,4.75,29.277,102.278,0.0,0.036000000000001364
241.545,4.72,29.277,102.278,-9000.0,0.18900000000002137
241.734,4.7,23.252,102.825,-15000.0,0.4609999999999843
242.195,4.7,23.252,102.825,-18000.0,0.04099999999999682
242.236,4.716,29.277,102.278,-12000.0,0.6920000000000073
242.928,4.705,26.979,102.791,-18000.0,0.04400000000001114
242.972,4.72,29.277,102.278,-6000.0,0.4679999999999893
243.44,4.968,29.25,102.276,-18000.0,0.16599999999999682
243.606,4.956,23.252,102.825,-12000.0,0.6110000000000184
244.217,4.716,29.277,102.278,-15000.0,0.15799999999998704
244.375,4.743,23.252,102.825,0.0,0.3369999999999891
244.712,4.701,23.252,102.825,-3000.0,0.20300000000000296
244.915,4.754,29.277,102.278,0.0,0.32500000000001705
245.24,4.716,29.277,102.278,-9000.0,0.07899999999997931
245.319,4.702,26.943,102.816,-18000.0,0.7290000000000134
246.048,4.721,29.277,102.278,-3000.0,0.14699999999999136
246.195,4.701,23.252,102.825,-9000.0,0.4200000000000159
246.615,4.72,29.277,102.278,-12000.0,0.16199999999997772
246.777,4.716,29.277,102.278,-6000.0,0.17300000000000182
246.95,4.956,23.252,102.825,-15000.0,0.7880000000000109
247.738,4.72,29.277,102.278,-15000.0,1.2239999999999895
248.962,4.701,23.252,102.825,-12000.0,0.10600000000002296
249.068,4.717,29.277,102.278,-3000.0,0.30400000000000205
249.372,4.704,27.938,102.232,-18000.0,0.4409999999999741
249.813,4.716,29.277,102.278,-18000.0,0.3300000000000125
250.143,4.72,29.277,102.278,-9000.0,0.0010000000000047748
250.144,4.72,27.983,102.224,-18000.0,0.7630000000000052
250.907,4.716,29.277,102.278,-12000.0,0.060000000000002274
250.967,5.514,23.252,102.825,0.0,0.6199999999999761
251.587,4.75,29.277,102.278,0.0,0.019000000000005457
251.606,4.72,29.277,102.278,-6000.0,1.068000000000012
252.674,4.702,26.943,102.816,-18000.0,0.05299999999999727
252.727,5.127,29.25,102.276,-18000.0,1.2469999999999857
253.974,4.716,29.277,102.278,-9000.0,0.8460000000000036
