      0        6 115.0460 4.720 -18000.000 102.278 29.277
      1        6 121.2590 4.720 -18000.000 102.278 29.277
      2        6 127.4710 4.720 -18000.000 102.278 29.277
      3        6 133.6840 4.720 -18000.000 102.278 29.277
      4        5 137.6170 4.720 -15000.000 102.278 29.277
      5        6 139.2920 4.720 -18000.000 102.278 29.277
      6        4 143.7620 4.975 -12000.000 102.278 29.277
      7        6 144.6180 4.720 -18000.000 102.278 29.277
      8        3 145.5040 4.720 -9000.000 102.278 29.277
      9        2 146.5570 4.720 -6000.000 102.278 29.277
     10        1 147.5630 4.721 -3000.000 102.278 29.277
     11        4 149.6450 4.720 -12000.000 102.278 29.277
     12        0 149.7250 4.754 0.000 102.278 29.277
     13        6 150.7820 4.720 -18000.000 102.278 29.277
     14        3 151.7970 4.720 -9000.000 102.278 29.277
     15        5 152.1530 4.720 -15000.000 102.278 29.277
     16        2 152.8370 4.720 -6000.000 102.278 29.277
     17        1 153.7830 4.721 -3000.000 102.278 29.277
     18     1966 155.4400 4.700 -18000.000 102.825 23.252
     19        4 155.8370 4.720 -12000.000 102.278 29.277
     20        6 156.3430 4.720 -18000.000 102.278 29.277
     21        0 156.9320 4.754 0.000 102.278 29.277
     22        3 158.0490 4.720 -9000.000 102.278 29.277
     23        5 158.2080 4.720 -15000.000 102.278 29.277
     24        2 159.1170 4.720 -6000.000 102.278 29.277
     25        1 160.0030 4.721 -3000.000 102.278 29.277
     26     1966 160.3810 4.700 -18000.000 102.825 23.252
     27        6 161.9350 4.720 -18000.000 102.278 29.277
     28        4 161.9900 4.720 -12000.000 102.278 29.277
     29        0 164.1410 4.754 0.000 102.278 29.277
     30        3 164.3020 4.975 -9000.000 102.278 29.277
     31     1966 165.3230 4.700 -18000.000 102.825 23.252
     32        2 165.3920 4.720 -6000.000 102.278 29.277
     33        1 166.2210 4.721 -3000.000 102.278 29.277
     34        6 167.2450 4.720 -18000.000 102.278 29.277
     35        4 167.8670 4.720 -12000.000 102.278 29.277
     36     1966 170.2650 4.700 -18000.000 102.825 23.252
     37        3 170.5530 4.720 -9000.000 102.278 29.277
     38        0 171.3340 4.754 0.000 102.278 29.277
     39        2 171.6840 4.720 -6000.000 102.278 29.277
     40        1 172.4460 4.721 -3000.000 102.278 29.277
     41        6 173.4090 4.976 -18000.000 102.278 29.277
     42        4 173.7390 4.720 -12000.000 102.278 29.277
     43     1966 175.2070 4.700 -18000.000 102.825 23.252
     44        3 176.7870 4.720 -9000.000 102.278 29.277
     45        2 178.0170 4.720 -6000.000 102.278 29.277
     46        0 178.4880 4.990 0.000 102.278 29.277
     47        6 178.7130 4.720 -18000.000 102.278 29.277
     48     1966 180.1490 4.700 -18000.000 102.825 23.252
     49        4 180.6870 4.720 -12000.000 102.278 29.277
     50        5 181.2210 4.720 -15000.000 102.278 29.277
     51        3 183.0210 4.720 -9000.000 102.278 29.277
     52        2 183.9730 4.720 -6000.000 102.278 29.277
     53        6 184.2770 4.720 -18000.000 102.278 29.277
