-----------------------------------------------------------------------------------------
Lon	Lat	year	month	day	Mag	Z(km)	hr	min	sec	
-----------------------------------------------------------------------------------------
-2.97533	53.7862	2018	10	16	-1.702	-2.28549	13	43	35
-2.97412	53.7863	2018	10	16	-1.634	-2.31734	13	43	36
-2.97481	53.7854	2018	10	16	-1.182	-2.30644	13	43	39
-2.97504	53.7861	2018	10	16	-1.737	-2.31103	13	43	43
-2.97389	53.7857	2018	10	16	-1.606	-2.33054	13	43	45
-2.97471	53.7856	2018	10	16	-1.605	-2.33343	13	43	55
-2.97442	53.7854	2018	10	16	-1.456	-2.28561	13	43	57
-2.97553	53.7862	2018	10	16	-1.604	-2.27362	13	44	22
-2.97518	53.7856	2018	10	16	-1.306	-2.27172	13	44	24
-2.97488	53.7867	2018	10	16	-1.607	-2.32071	13	44	29
-2.9744	53.7854	2018	10	16	-1.464	-2.30685	13	44	37
-2.97365	53.7875	2018	10	16	-1.72	-2.39186	13	44	39
-2.97528	53.786	2018	10	16	-1.642	-2.28386	13	44	40
-2.97515	53.787	2018	10	16	-1.737	-2.24973	13	44	46
-2.9751	53.7874	2018	10	16	-1.61	-2.30567	13	44	51
-2.97506	53.7858	2018	10	16	-0.999	-2.30719	13	45	8
-2.97432	53.7865	2018	10	16	-1.595	-2.3202	13	45	9
-2.97401	53.7861	2018	10	16	-1.324	-2.32111	13	45	15
-2.97393	53.7863	2018	10	16	-1.543	-2.36269	13	45	21
-2.97468	53.786	2018	10	16	-1.525	-2.25779	13	45	23
-2.97452	53.787	2018	10	16	-1.82	-2.324	13	45	25
-2.9747	53.7862	2018	10	16	-1.558	-2.30768	13	45	26
-2.97524	53.7858	2018	10	16	-1.382	-2.28602	13	45	30
-2.97518	53.7862	2018	10	16	-1.527	-2.31091	13	45	34
-2.97497	53.7853	2018	10	16	-1.17	-2.29709	13	45	39
-2.97401	53.7867	2018	10	16	-1.693	-2.31941	13	45	39
-2.97465	53.7859	2018	10	16	-1.473	-2.28863	13	45	42
-2.97475	53.7854	2018	10	16	-1.578	-2.29708	13	45	48
-2.97411	53.7872	2018	10	16	-1.835	-2.33149	13	45	52
-2.97526	53.7854	2018	10	16	-0.916	-2.27496	13	45	53
-2.97609	53.7868	2018	10	16	-1.505	-2.28485	13	45	56
-2.97433	53.7861	2018	10	16	-1.678	-2.30284	13	46	8
-2.97427	53.7863	2018	10	16	-1.539	-2.37408	13	46	13
