t,Magnitude,Latitude,Longitude,Depth,dt
1043.95,4.746,28.064,102.209,0.0,0.8699999999998909
1044.82,4.969,23.355,102.862,-3000.0,1.3200000000001637
1046.14,5.179,23.329,102.853,0.0,0.9799999999997908
1047.12,4.748,23.329,102.853,0.0,1.8700000000001182
1048.99,4.749,25.86,103.268,0.0,0.4800000000000182
1049.47,5.005,29.277,102.278,0.0,1.9300000000000637
1051.4,4.75,27.864,102.271,0.0,0.6599999999998545
1052.06,4.705,29.142,102.27,-3000.0,0.8300000000001546
1052.89,4.755,28.09,102.204,0.0,0.2999999999999545
1053.19,4.746,23.406,102.881,0.0,1.6099999999999
1054.8,4.749,27.071,102.728,0.0,1.0
1055.8,4.72,29.196,102.273,-3000.0,0.7400000000000091
1056.54,4.713,23.355,102.862,-3000.0,3.5399999999999636
1060.08,4.75,25.885,103.256,0.0,1.1600000000000819
1061.24,5.262,29.223,102.275,0.0,1.2999999999999545
1062.54,4.745,23.381,102.872,0.0,0.2699999999999818
1062.81,4.72,29.169,102.272,-9000.0,2.230000000000018
1065.04,4.719,29.196,102.273,-6000.0,0.4600000000000364
1065.5,6.005,29.169,102.272,-3000.0,4.880000000000109
1070.38,5.671,23.329,102.853,-3000.0,0.15999999999985448
1070.54,4.986,25.86,103.268,0.0,2.5
1073.04,4.747,27.84,102.283,0.0,3.5299999999999727
1076.57,4.744,26.873,102.863,0.0,1.8700000000001182
1078.44,5.004,23.355,102.862,0.0,2.9099999999998545
1081.35,4.746,28.064,102.209,0.0,0.37000000000011823
1081.72,4.746,27.048,102.744,0.0,1.3899999999998727
1083.11,5.569,29.223,102.275,-6000.0,0.900000000000091
1084.01,5.838,29.223,102.275,0.0,0.15000000000009095
1084.16,5.016,25.885,103.256,0.0,5.959999999999809
1090.12,4.755,28.09,102.204,0.0,1.650000000000091
1091.77,4.754,29.277,102.278,0.0,0.01999999999998181
1091.79,4.75,27.864,102.271,0.0,0.2899999999999636
1092.08,4.749,25.86,103.268,0.0,0.43000000000006366
1092.51,4.742,29.179,102.331,0.0,0.8900000000001
1093.4,4.746,23.355,102.862,0.0,1.3099999999999454
1094.71,4.721,29.277,102.278,-3000.0,3.730000000000018
1098.44,4.977,29.196,102.273,-3000.0,1.9600000000000364
1100.4,4.712,23.355,102.862,-6000.0,0.7300000000000182
1101.13,5.493,23.329,102.853,-3000.0,0.9499999999998181
1102.08,4.986,27.071,102.728,0.0,0.17000000000007276
